"Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"Lebanon",12,7,11,36,54,52,33,35,22,9,2,2,0,0,3,2,1,0,0,0,0
"Malaysia",3,3,5,27,51,19,24,26,28,9,5,1,2,0,0,0,0,0,0,0,0
"Maldives",0,0,0,0,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oman",1,1,1,2,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"Mongolia",6,4,9,15,11,10,11,19,9,5,4,2,1,0,0,0,0,0,0,0,0
"Nepal",1,2,3,3,14,17,8,7,5,3,0,0,0,1,1,0,0,0,0,0,0
"North Korea",0,0,3,2,4,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",0,0,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pakistan",31,21,16,15,31,43,55,36,14,8,2,3,4,1,1,1,0,0,0,0,0
"Philippines",22,30,27,15,35,92,102,107,55,35,20,24,8,1,1,0,0,0,0,0,0
"Saudi Arabia",15,8,7,30,27,16,21,7,6,4,3,4,1,2,2,1,0,0,0,0,0
"Singapore",8,4,6,7,28,31,24,20,14,2,2,2,0,1,0,0,0,0,0,0,0
"South Korea",27,26,22,73,153,117,71,64,35,27,15,5,5,2,2,0,0,0,0,0,0
"Syria",284,335,212,158,227,205,209,145,112,58,44,32,20,6,5,1,3,0,0,0,0
"Thailand",26,35,27,56,137,121,106,108,82,69,24,5,1,2,1,0,0,0,0,0,0
"Vietnam",12,8,8,137,146,58,48,36,20,12,8,5,4,0,0,0,0,0,0,0,0
"Bangladesh",5,5,2,4,17,27,23,14,5,1,1,0,1,0,3,0,1,0,0,0,0
"Timor-Leste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palestine",2,1,0,1,2,9,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"Armenia",5,3,6,5,12,21,12,8,5,2,1,1,1,1,0,1,0,0,0,0,0
"Azerbaijan",8,13,5,14,17,14,17,11,7,5,0,0,2,0,0,0,0,0,0,0,0
"Georgia",4,24,7,11,10,18,19,12,12,7,4,5,1,1,0,0,0,1,0,0,0
"Kazakhstan",5,12,10,67,28,15,17,12,8,5,4,0,0,1,0,0,1,0,0,0,0
"Kyrgyzstan",0,2,0,4,8,6,3,4,3,4,0,1,0,0,0,0,0,0,0,0,0
"Tajikistan",2,0,1,6,5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"Turkmenistan",1,0,2,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Uzbekistan",2,4,2,11,7,10,9,4,1,2,0,0,0,0,0,0,0,0,0,0,0
"Australia",25,41,29,26,33,70,96,75,56,52,15,14,8,2,3,0,0,0,0,0,0
"Fiji",1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Nauru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vanuatu",0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"New Zealand",5,11,4,4,15,21,12,15,11,8,3,9,0,1,0,0,0,0,0,0,0
"Papua New Guinea",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tonga",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solomon Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tuvalu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
